Date,Opening_Price_ETH,Highest_Price_ETH,Lowest_Price_ETH,Closure_price_ETH,Vol_ETH
2016-05-09,0.0,12.0,0.0,9.36,1376.614767
2016-05-10,9.36,9.95,9.36,9.74,764.62829
2016-05-11,9.74,10.47,9.69,10.45,3079.531401
2016-05-12,10.45,12.0,9.92,10.4,2061.0121059999997
2016-05-13,10.4,11.59,10.2,10.5,1788.0430789999998
2016-05-14,10.5,10.58,10.01,10.57,930.5806551000001
2016-05-15,10.57,10.59,10.06,10.06,988.5319754000001
2016-05-16,10.06,11.41,10.06,11.33,3725.048075
2016-05-17,11.33,13.06,11.28,13.04,8137.008234999999
2016-05-18,13.04,14.14,12.7,13.87,5531.485493
2016-05-19,13.87,14.77,13.56,14.56,8631.620136
2016-05-20,14.56,14.75,13.09,13.29,9769.997245
2016-05-21,13.29,14.15,13.23,14.14,2300.313515
2016-05-22,14.14,14.45,13.75,14.33,2871.3586
2016-05-23,14.33,14.43,13.3,13.56,5577.342434
2016-05-24,13.56,13.79,12.12,12.69,7676.332275
2016-05-25,12.69,12.9,11.83,12.9,11928.45011
2016-05-26,12.9,12.9,11.75,11.75,6943.422976000001
2016-05-27,11.75,11.84,10.41,10.41,8886.050220000001
2016-05-28,10.41,12.27,10.41,12.06,11966.69843
2016-05-29,12.06,12.73,12.02,12.43,7021.081824
2016-05-30,12.43,12.79,12.41,12.61,8256.323586
2016-05-31,12.61,14.35,12.59,14.13,13707.242890000001
2016-06-01,14.13,14.24,13.54,13.85,5774.127286
2016-06-02,13.85,14.13,13.5,13.84,2284.600231
2016-06-03,13.84,16.05,13.5,13.91,12055.05364
2016-06-04,13.91,14.01,13.64,13.74,2473.7253739999996
2016-06-05,13.74,13.99,13.7,13.92,694.5835481
2016-06-06,13.92,14.4,13.83,13.96,4267.3171649999995
2016-06-07,13.96,14.73,13.96,14.65,10944.50446
2016-06-08,14.65,14.65,14.38,14.49,8740.664885
2016-06-09,14.49,14.55,14.36,14.38,2356.615105
2016-06-10,14.38,14.38,13.83,13.95,1990.401194
2016-06-11,13.95,14.53,13.84,14.3,3976.756532
2016-06-12,14.3,15.81,14.29,15.81,20328.79185
2016-06-13,15.81,18.11,15.81,17.95,15610.810419999998
2016-06-14,17.95,19.07,16.52,18.58,15882.680080000002
2016-06-15,18.58,19.06,17.51,18.99,6559.883637
2016-06-16,18.99,25.05,18.94,21.09,27129.187680000003
2016-06-17,21.09,21.44,13.75,14.31,58898.55546
2016-06-18,14.31,14.66,9.0,12.51,38716.32862
2016-06-19,12.51,15.55,11.72,12.46,11616.324690000001
2016-06-20,12.46,12.49,10.69,12.3,49095.31795
2016-06-21,12.3,14.97,11.52,14.96,14452.66769
2016-06-22,14.96,15.75,13.15,13.16,33020.65898
2016-06-23,13.16,14.79,12.7,13.36,4231.051483
2016-06-24,13.36,14.8,13.36,14.5,6677.81636
2016-06-25,14.5,14.68,14.2,14.33,287.14687010000006
2016-06-26,14.33,14.33,13.63,14.0,1097.859185
2016-06-27,14.0,15.72,13.9,14.02,4021.257039
2016-06-28,14.02,14.61,11.57,12.14,20627.65749
2016-06-29,12.14,13.0,11.84,12.83,4531.3802
2016-06-30,12.83,12.83,12.08,12.39,2917.41365
2016-07-01,12.39,12.39,11.73,12.05,5003.418965
2016-07-02,12.05,12.11,11.97,12.03,1858.421082
2016-07-03,12.03,12.37,11.51,11.78,3998.1539399999997
2016-07-04,11.78,11.82,11.41,11.46,1259.775836
